"TestMatchNumber","Wicket","Batter","dismissalMode","Fielder","Runs","innings","opponent","venue","country","matchDate","match","video","description","Milestone","fieldingPosition","wktDetails","player","overs"
"1.0","1.0","DM Bravo","bowled","","12","1","v West Indies","Delhi","India","6 Nov 2011","Test # 2015","ashwin-wkt-1","Ashwin strikes timber for his first wicket in Tests. Quick offbreak, angled in from round the stumps, hurries off the turf and straightens down the line. Should Bravo have been on the front foot? He stays back and tries to cut though there is no room to work with. He misses and the stumps are in a mess. That was a really poor shot, he was cutting from the leg stump line!.","","","1. DM Bravo b  Ashwin
Test Match#: 1.0: v West Indies at Delhi in 2011 (1st innings)","Ashwin","32.5"
"1.0","2.0","MN Samuels","caught","MS Dhoni","15","1","v West Indies","Delhi","India","6 Nov 2011","Test # 2015","ashwin-wkt-2","and he's nailed him with a slider. The last one too held its line, and this wasn't a bad ploy at all to a batsman who stays back and tries to read the spin off the pitch. This one was full, Samuels didn't have much time to realise it was holding its line and poked at it with hard hands. The ball took a thin edge, Dhoni completed his 200th dismissal, and Ashwin's second. Huge blow this, Samuels is as key to the WI cause as Chanders..","","Keeper","2. MN Samuels c MS Dhoni b Ashwin
Test Match#: 1.0: v West Indies at Delhi in 2011 (1st innings)","Ashwin","77.2"
"1.0","3.0","R Rampaul","lbw","","12","1","v West Indies","Delhi","India","6 Nov 2011","Test # 2015","ashwin-wkt-3","and yet another leg before, Ashwin started to appeal a touch late, slowly at first, but his appeal gained confidence as it grew longer, he had struck Rampaul with a quickish one that hurried in, Rampaul was pushing well outside the line even as it struck him in front of middle.","","","3. R Rampaul lbw  Ashwin
Test Match#: 1.0: v West Indies at Delhi in 2011 (1st innings)","Ashwin","107.3"
"1.0","4.0","KOA Powell","caught","G Gambhir","0","3","v West Indies","Delhi","India","6 Nov 2011","Test # 2015","ashwin-wkt-4","caught at short cover! Powell went forward and reached for the ball away from his body, playing the cover drive. He couldn't keep it along the ground but hit it hard straight at Gambhir. He didn't catch it on the first attempt and the ball bounced off his hands in front of him. He didn't catch it on the second try either, but grasped it with his left hand on the third while diving forward.","","close-in","4. KOA Powell c G Gambhir b Ashwin
Test Match#: 1.0: v West Indies at Delhi in 2011 (2nd innings)","Ashwin","1.4"
"1.0","5.0","DM Bravo","lbw","","12","3","v West Indies","Delhi","India","6 Nov 2011","Test # 2015","ashwin-wkt-5","Ashwin gets Bravo again, a tactic that Harbhajan uses so well against the left-handers in Tests, tossed up from round the stumps, dragging him forward in defence, he pushes outside the line for the turn, there isn't much and he is rapped on the pad, will have to wait for the replays, looked in line with the stumps in real time, umpire Tucker thought so too, replays show that struck him in line with off, fine decision.","","","5. DM Bravo lbw  Ashwin
Test Match#: 1.0: v West Indies at Delhi in 2011 (2nd innings)","Ashwin","29.2"
"1.0","6.0","MN Samuels","bowled","","0","3","v West Indies","Delhi","India","6 Nov 2011","Test # 2015","ashwin-wkt-6","the carrom ball strikes now, outstanding control he has over this ball, flighted slowly on the off stump line, again drawing another batsman forward, he pushes inside the line this time and well within the pads, the ball goes away from him, and takes out off stump, the game turns after this double-wicket maiden.","","","6. MN Samuels b  Ashwin
Test Match#: 1.0: v West Indies at Delhi in 2011 (2nd innings)","Ashwin","29.6"
"1.0","7.0","S Chanderpaul","lbw","","47","3","v West Indies","Delhi","India","6 Nov 2011","Test # 2015","ashwin-wkt-7","Ashwin has got the big wicket, he had been bowling over the stumps to Chanders while going round the stumps to Darren Bravo, pitched it around leg and got it to turn across Chanders who pushed at it bat and pad together, the ball found the pad and umpire Tucker sent Chanders back.","","","7. S Chanderpaul lbw  Ashwin
Test Match#: 1.0: v West Indies at Delhi in 2011 (2nd innings)","Ashwin","45.6"
"1.0","8.0","DJG Sammy","bowled","","42","3","v West Indies","Delhi","India","6 Nov 2011","Test # 2015","ashwin-wkt-8","five-for on debut for R Ashwin, he has gone through Sammy with a carrom ball that hardly got up, Sammy was on the back foot and that allowed him no time to get his bat down as it skidded and took off.","","","8. DJG Sammy b  Ashwin
Test Match#: 1.0: v West Indies at Delhi in 2011 (2nd innings)","Ashwin","51.5"
"1.0","9.0","R Rampaul","caught","PP Ojha","18","3","v West Indies","Delhi","India","6 Nov 2011","Test # 2015","ashwin-wkt-9","Ashwin has his sixth wicket, Rampaul falls on his favoured slog sweep, the ball was a touch too full, he went ahead with the shot, Ojha was placed some way in from the deep midwicket boundary and took it easily.","","Outfield","9. R Rampaul c PP Ojha b Ashwin
Test Match#: 1.0: v West Indies at Delhi in 2011 (2nd innings)","Ashwin","57.3"
"2.0","10.0","KC Brathwaite","caught","G Gambhir","17","2","v West Indies","Eden Gardens","India","14 Nov 2011","Test # 2017","ashwin-wkt-10","caught at bat pad! Brathwaite came forward to defend but was beaten by the flight, the ball spun into him and lobbed off the pad to Gambhir, who had an easy catch to take. Did that hit the bat, though? I'll need to see a replay. Don't think there was an edge.","","close-in","10. KC Brathwaite c G Gambhir b Ashwin
Test Match#: 2.0: v West Indies at Eden Gardens in 2011 (1st innings)","Ashwin","11.1"
"2.0","11.0","S Chanderpaul","lbw","","4","2","v West Indies","Eden Gardens","India","14 Nov 2011","Test # 2017","ashwin-wkt-11","lbw! Huge wicket for India. There's no doubt about this one. Chanderpaul moved right across his stumps and missed the straighter one because he was playing across the line. He was caught on the crease right in front. That would have hit middle and leg..","","","11. S Chanderpaul lbw  Ashwin
Test Match#: 2.0: v West Indies at Eden Gardens in 2011 (1st innings)","Ashwin","18.3"
"2.0","12.0","MN Samuels","lbw","","84","3","v West Indies","Eden Gardens","India","14 Nov 2011","Test # 2017","ashwin-wkt-12","Ashwin has struck, West Indies' last specialist batsman is gone, Samuels was caught on the back foot by a length delivery, that pitched outside off and struck him on the back leg as the ball tuns past his bat, his bat actually hit the flap of his back pad, so it came down slower than expected, the ball hits him in front of off, it was plumb! and an early finish looms now.","","","12. MN Samuels lbw  Ashwin
Test Match#: 2.0: v West Indies at Eden Gardens in 2011 (2nd innings)","Ashwin","117.5"
"2.0","13.0","KAJ Roach","bowled","","1","3","v West Indies","Eden Gardens","India","14 Nov 2011","Test # 2017","ashwin-wkt-13","where did that come from, Ashwin gets the length ball to drift away before barrelling back in, through the gate and crashes into the top of off and middle, superb delivery, too good for Roach, and this match is quickly winding down.","","","13. KAJ Roach b  Ashwin
Test Match#: 2.0: v West Indies at Eden Gardens in 2011 (2nd innings)","Ashwin","121.4"
"3.0","14.0","AB Barath","caught","MS Dhoni","62","1","v West Indies","Wankhede","India","22 Nov 2011","Test # 2019","ashwin-wkt-14","there's the wicket. The batsmen's concentration hasn't been spot on for the last 15 minutes. Barath presses half forward, and then stays there - neither forward nor back - to a length-ball offbreak. The ball turns and bounces, gets the inside edge onto the pad, and lobs up for an easy catch for Dhoni.","","Keeper","14. AB Barath c MS Dhoni b Ashwin
Test Match#: 3.0: v West Indies at Wankhede in 2011 (1st innings)","Ashwin","52.5"
"3.0","15.0","KC Brathwaite","caught","V Kohli","68","1","v West Indies","Wankhede","India","22 Nov 2011","Test # 2019","ashwin-wkt-15","Ashwin strikes again. Bat-pad again. Again the well-set batsman. KB is not too pleased with the decision. This one dips on Brathwaite, who is found not to the pitch of the ball. The ball turns, seemingly past the inside edge, and lobs off the pad. Indians have no doubt there is bat involved, the umpire has no doubt bat is involved. KB is not convinced, though. It has kissed the glove on the way. Entirely possible that KB didn't feel it. Top call by the ump.","","close-in","15. KC Brathwaite c V Kohli b Ashwin
Test Match#: 3.0: v West Indies at Wankhede in 2011 (1st innings)","Ashwin","58.6"
"3.0","16.0","R Rampaul","caught","V Kohli","10","1","v West Indies","Wankhede","India","22 Nov 2011","Test # 2019","ashwin-wkt-16","A straighter one from round the stumps. RR defends for an offbreak, is hit on the pad, and then bat, and taken at silly point. Ashwin starts appealing for leg-before first, which is a very good shout too. The umpire, though, gives him out caught. Two distinct sounds there.","","InField","16. R Rampaul c V Kohli b Ashwin
Test Match#: 3.0: v West Indies at Wankhede in 2011 (1st innings)","Ashwin","174.1"
"3.0","17.0","MN Samuels","caught","R Dravid","61","1","v West Indies","Wankhede","India","22 Nov 2011","Test # 2019","ashwin-wkt-17","Carrom ball. Gone. Dravid takes a good, low catch. Just short of a length, Samuels moves forward to play for an offbreak, then sees it break away a touch, and instinctively opens the face. The edge is taken, and the low chance is pouched at slip.","","slip-cordon","17. MN Samuels c R Dravid b Ashwin
Test Match#: 3.0: v West Indies at Wankhede in 2011 (1st innings)","Ashwin","176.6"
"3.0","18.0","D Bishoo","bowled","","12","1","v West Indies","Wankhede","India","22 Nov 2011","Test # 2019","ashwin-wkt-18","That's a Michelle. Ashwin's second five-for in three Tests. Bishoo tries to slog a full ball, this is an arm ball - full and quick, and takes out the off stump.","","","18. D Bishoo b  Ashwin
Test Match#: 3.0: v West Indies at Wankhede in 2011 (1st innings)","Ashwin","184.1"
"3.0","19.0","CS Baugh","bowled","","1","3","v West Indies","Wankhede","India","22 Nov 2011","Test # 2019","ashwin-wkt-19","Ojha can't get the perfect 10, but I am sure he won't mind it. The classical offspinner's dismissal. Tossed up outside off, not sure if it drifted away, but Baugh went to drive against the turn and away from the body. The gate was created, and the offbreak burst through. West Indies are having a public nervous breakdown here.","","","19. CS Baugh b  Ashwin
Test Match#: 3.0: v West Indies at Wankhede in 2011 (2nd innings)","Ashwin","47.5"
"3.0","20.0","KOA Powell","lbw","","11","3","v West Indies","Wankhede","India","22 Nov 2011","Test # 2019","ashwin-wkt-20","Huge wicket. Last recognised batsman gone. Bold decision from the umpire. Powell strides forward, this is a length ball, pitches just outside off, goes with the arm. Powell plays for the turn. beaten. The height looks good but it has some distance to travel. Would have clipped leg, but these are the decisions we see given more often these days. The first lbw of the match if I am not mistaken.","","","20. KOA Powell lbw  Ashwin
Test Match#: 3.0: v West Indies at Wankhede in 2011 (2nd innings)","Ashwin","49.3"
"3.0","21.0","DJG Sammy","caught","MS Dhoni","10","3","v West Indies","Wankhede","India","22 Nov 2011","Test # 2019","ashwin-wkt-21","Sammy is gone. West Indies go deeper into the mire. Short of a length, outside off, open of-side field. Sammy rocks back to force it through the off side. Gets a thick edge, and Dhoni takes a good catch. West Indies 242 for 9, with 66.5 overs to go, minus two for the changeover.","","Keeper","21. DJG Sammy c MS Dhoni b Ashwin
Test Match#: 3.0: v West Indies at Wankhede in 2011 (2nd innings)","Ashwin","57.1"
"3.0","22.0","D Bishoo","lbw","","0","3","v West Indies","Wankhede","India","22 Nov 2011","Test # 2019","ashwin-wkt-22","He spends precisely a minute on the wicket. That's eight wickets in 95 minutes. All ten to spinners. Shambolic from West Indies. Ashwin bowls the arm ball first up, pitches outside off, short of a length, keeps going from outside off. Hit in front of the stumps, no the back foot. Easy lbw decision.","","","22. D Bishoo lbw  Ashwin
Test Match#: 3.0: v West Indies at Wankhede in 2011 (2nd innings)","Ashwin","66.5"
"4.0","23.0","EJM Cowan","caught","MS Dhoni","68","1","v Australia","Melbourne","Australia","26 Dec 2011","Test # 2025","ashwin-wkt-23","Ashwin has a wicket. Cowan's supreme vigil comes to an end, and Australia are slipping down a familiar slope now. Cowan's been eager to cut Ashwin all day, and hasn't quite figured his drift and variety. This one again, was much too close to the body to cut, but he went for it, and thick-edged it into Dhoni's gloves. Very good take, that. Definite sound, but was there an edge? Oh dear ... Cowan didn't look happy with the decision. HotSpot didn't light up..","","Keeper","23. EJM Cowan c MS Dhoni b Ashwin
Test Match#: 4.0: v Australia at Melbourne in 2011 (1st innings)","Ashwin","67.1"
"4.0","24.0","BW Hilfenhaus","caught","V Kohli","19","1","v Australia","Melbourne","Australia","26 Dec 2011","Test # 2025","ashwin-wkt-24","didn't take long for Ashwin to tempt Hilfy and send him on his way. Tossed up invitingly outside off, it wobbled over the eye line, came down gently and was asking to be muscled across the line. Hilfenhaus obliged, dragging it from wide of off stump towards long-on. It barely travelled three-fourths of the way to the boundary, and Kohli settles under it easily..","","Outfield","24. BW Hilfenhaus c V Kohli b Ashwin
Test Match#: 4.0: v Australia at Melbourne in 2011 (1st innings)","Ashwin","105.4"
"4.0","25.0","NM Lyon","bowled","","6","1","v Australia","Melbourne","Australia","26 Dec 2011","Test # 2025","ashwin-wkt-25","Ashwin's bowled Lyon round the legs and Australia are bowled out. Quite a strange dismissal. It was fired in full on off stump, Lyon got drastically across and looked to sweep. He missed, and Ashwin pegged back off stump. All out for 333, triple Nelson ends the innings..","Yes","","25. NM Lyon b  Ashwin
Test Match#: 4.0: v Australia at Melbourne in 2011 (1st innings)","Ashwin","109.6"
"4.0","26.0","NM Lyon","lbw","","0","3","v Australia","Melbourne","Australia","26 Dec 2011","Test # 2025","ashwin-wkt-26","Ashwin has struck, umpire Erasmus thinks that is going to hit leg stump, it was the flighted carrom ball, pitched on a length, Lyon was playing off the back foot and was caught on the pad, have to wait for replays to see if it was taking leg, yes, replays show Erasmus was spot-on.","","","26. NM Lyon lbw  Ashwin
Test Match#: 4.0: v Australia at Melbourne in 2011 (2nd innings)","Ashwin","53.6"
