TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player,overs
1,1,SPD Smith,caught,RG Sharma,28,1,v Australia,Sydney,Australia,23 Jan 2016,ODI # 3727,bumrah-odi-wkt-1,"very poor shot. Bumrah gets his first wicket. Smith picks out midwicket. Short delivery on off, Smith plays a nothing pull straight o short midwicket. Bumrah is jubilant. Big big wicket for India, this could put Australia behind the 8-ball for a while..",,InField,"1. SPD Smith c RG Sharma b Bumrah
Test Match#: 1.0: v Australia at Sydney in 2016 (1st innings)",Bumrah-ODI,11.5
1,2,JP Faulkner,bowled,,1,1,v Australia,Sydney,Australia,23 Jan 2016,ODI # 3727,bumrah-odi-wkt-2,"oh, Bumrah, what a delivery. Takes out Faulkner's off stump with a perfect yorker that the batsman plays all around.",,,"2. JP Faulkner b  Bumrah
Test Match#: 1.0: v Australia at Sydney in 2016 (1st innings)",Bumrah-ODI,48.1
2,3,CJ Chibhabha,bowled,,13,1,v Zimbabwe,Harare,,11 Jun 2016,ODI # 3742,bumrah-odi-wkt-3,"the off stump has been flattened! This one was full from wide of the crease, Chibhabha planted his foot forward but was late on the defensive shot as the ball sneaks past the inside edge to deflect onto the stumps off the pad. The late inswing did him in. Zimbabwe in trouble..",,,"3. CJ Chibhabha b  Bumrah
Test Match#: 2.0: v Zimbabwe at Harare in 2016 (1st innings)",Bumrah-ODI,13.1
2,4,V Sibanda,caught,MS Dhoni,5,1,v Zimbabwe,Harare,,11 Jun 2016,ODI # 3742,bumrah-odi-wkt-4,"there's the wicket, and you have to say lack of temperament has resulted in that. It was short and wide, there to play the cut, but Sibanda was undone by the extra bounce as the thick edge is pouched by Dhoni. Sibanda made a mistake of going under the ball rather than getting on top of the bounce..",,Keeper,"4. V Sibanda c MS Dhoni b Bumrah
Test Match#: 2.0: v Zimbabwe at Harare in 2016 (1st innings)",Bumrah-ODI,19.2
2,5,E Chigumbura,bowled,,41,1,v Zimbabwe,Harare,,11 Jun 2016,ODI # 3742,bumrah-odi-wkt-5,"you miss and I hit' stuff. Length ball on middle from wide of the crease, Chigumbura shaped to pull but the ball cut back in to beat the inside edge and hit leg stump. Industrious knock, but couldn't get the impetus.",,,"5. E Chigumbura b  Bumrah
Test Match#: 2.0: v Zimbabwe at Harare in 2016 (1st innings)",Bumrah-ODI,49.3
2,6,TL Chatara,caught,AT Rayudu,4,1,v Zimbabwe,Harare,,11 Jun 2016,ODI # 3742,bumrah-odi-wkt-6,"excellent calling from Rayudu. He ensured he called early to get underneath that mistimed skier, but it wasn't easy as he was looking into the sun while running in from mid-on. But ensured he kept his eyes on the ball, made the late adjustment by moving back a touch to complete the catch. Best bowling figures for Bumrah.",,InField,"6. TL Chatara c AT Rayudu b Bumrah
Test Match#: 2.0: v Zimbabwe at Harare in 2016 (1st innings)",Bumrah-ODI,49.5
3,7,R Mutumbami,caught,MS Dhoni,2,1,v Zimbabwe,Harare,,13 Jun 2016,ODI # 3744,bumrah-odi-wkt-7,"inside edge as the ball nips in sharply and the finger goes up! Short delivery that pitched well outside off and jagged in sharply off the pitch to get a faint inside edge and Dhoni did the rest by going to his left. Mutumbami shakes his head, but replays show there was something the ball touched on its way. Looks like bat unless more replays suggest otherwise.",,Keeper,"7. R Mutumbami c MS Dhoni b Bumrah
Test Match#: 3.0: v Zimbabwe at Harare in 2016 (1st innings)",Bumrah-ODI,30.2
4,8,T Maruma,bowled,,17,1,v Zimbabwe,Harare,,15 Jun 2016,ODI # 3746,bumrah-odi-wkt-8,"got him! That's a beauty. He has got the ball to cut back in all afternoon, and has been finally rewarded. There was no conviction whatsoever from Maruma who pushes outside the line of the stumps, only to see the ball break back in to sneak through and flatten the off stump. He made the mistake of simply hanging his bat out, and paid the price.",,,"8. T Maruma b  Bumrah
Test Match#: 4.0: v Zimbabwe at Harare in 2016 (1st innings)",Bumrah-ODI,32.5
4,9,E Chigumbura,caught,MS Dhoni,0,1,v Zimbabwe,Harare,,15 Jun 2016,ODI # 3746,bumrah-odi-wkt-9,"sets him up superbly! He was waiting for a short one and was well inside the crease. Bumrah does well to float it full as the ball tails away just a touch to take the edge through to MS Dhoni. 350th victim for the Indian captain. Smiles all around. Chigumbura is out for another duck, his poor run of form continues. Zimbabwe on a free-fall, not for the first time in the series..",,Keeper,"9. E Chigumbura c MS Dhoni b Bumrah
Test Match#: 4.0: v Zimbabwe at Harare in 2016 (1st innings)",Bumrah-ODI,32.6
4,10,R Mutumbami,caught,KL Rahul,4,1,v Zimbabwe,Harare,,15 Jun 2016,ODI # 3746,bumrah-odi-wkt-10,"beautiful ball from Bumrah. This one holds its line after pitching on off, Mutumbami is drawn forward by the length and gets thick edge as Rahul dives low to his left to complete the catch at slip . The ball flew off the bat, but Rahul kept his eyes on the ball right till it lodged into his hands. He put down a few the other day, both at training and in the match, but has looked much sharper today..",,slip-cordon,"10. R Mutumbami c KL Rahul b Bumrah
Test Match#: 4.0: v Zimbabwe at Harare in 2016 (1st innings)",Bumrah-ODI,34.3
4,11,T Mupariwa,caught,MK Pandey,1,1,v Zimbabwe,Harare,,15 Jun 2016,ODI # 3746,bumrah-odi-wkt-11,"outside edge, and gone again. This time, it's Pandey at second slip. Mupariwa goes for an expansive drive again, but looked to do so with an opened-face, was clearly beaten by the pace of the ball as the edge flew into Pandey's safe hands. Bumrah is having a field day, and the angles have once again worked wonderfully for him. He's had a few nip back in, while others have held their line to cause the confusion. Top stuff this.",,slip-cordon,"11. T Mupariwa c MK Pandey b Bumrah
Test Match#: 4.0: v Zimbabwe at Harare in 2016 (1st innings)",Bumrah-ODI,36.4
