TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Special,fieldingPosition,wktDetails
1,1,AB de Villiers,bowled,,65,1,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-1,"32.6 goes through him! 140 kph, massive wicket. Bumrah's maiden Test wicket is de Villiers. Full delivery outside off, de Villiers drives but that seam movement again, takes the inside edge and hits off stump. Throws his head back as he heard the stumps disturbed. 126/4",,,"1. AB de Villiers b Bumrah
Test Match#: 1: v South Africa at Cape Town in 2018 (2nd innings)"
1,2,F du Plessis,caught,WP Saha,0,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-2,"28.4 that's a ripper from Bumrah! How do you play this? Absolutely unplayable to be honest. Good length at 141ks, bursts off the pitch, and angling into Faf. He presses forward thinking it's a simple length ball but is surprised by the extra bounce and loosens his grip but the ball catches the top glove and flies through to Saha. What a brute of a ball from a Test debutant and a man playing his first first-class match after a year. #ScenesinNewlands 82/5",,Keeper,"2. F du Plessis WP Saha b Bumrah
Test Match#: 1: v South Africa at Cape Town in 2018 (2nd innings)"
1,3,Q de Kock,caught,WP Saha,8,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-3,"30.4 biiiiig nip-backer from Bumrah. Terrific ball. Saha goes up for a caught-behind appeal. Saha moves to his right and grabs it in front of his head. Top catch. Ultra Edge detects a spike. Umpire Kettleborough has to reverse his on-field not-out decision. De Kock has to go, and Kohli is pumped. Back of a length, starts outside off, and seams back in sharply. The batsman pushes outside the line and inside-edges it behind 92/6",,Keeper,"3. Q de Kock WP Saha b Bumrah
Test Match#: 1: v South Africa at Cape Town in 2018 (2nd innings)"
1,4,AB de Villiers,caught,B Kumar,35,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-4,"41.2 pulled, but taken in the deep! Good length outside off and pulled off the back foot, doesn't have the distance as Bhuvi takes a sharp catch from inches inside the cow-corner boundary. India need 208 to win. 130/10",,Outfield,"4. AB de Villiers B Kumar b Bumrah
Test Match#: 1: v South Africa at Cape Town in 2018 (2nd innings)"
2,5,AK Markram,lbw,,1,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,bumrah-wkt-5,"1.2 plumb! Markram is leaping up at this short of a length ball to try and defend, but like he's done all Test long, Bumrah gets this one to skid on at knee height. He's trapped on the back leg and there's little doubt in that 1/1",,,"5. AK Markram lbw Bumrah
Test Match#: 2: v South Africa at Centurion in 2018 (2nd innings)"
2,6,HM Amla,lbw,,1,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,bumrah-wkt-6,"5.3 gone! Another one keeps low! Oh no one's going on the back foot from now on. Bumrah has destroyed that tenet of Test batting for now. Back of a length ball coming in at middle stump. He's looking to flick on the up, but the bat is about 3 inches above the ball, which has hit him on the knee roll 3/2",,,"6. HM Amla lbw Bumrah
Test Match#: 2: v South Africa at Centurion in 2018 (2nd innings)"
2,7,F du Plessis,caught,JJ Bumrah,48,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,bumrah-wkt-7,88.4 sticks out the right hand takes this in his follow through! Deceives him with the slower ball. An offcutter. Full and in at off stump. Faf shapes to drive inside out through extra cover. It pings off the inside half and hangs up for Bumrah who is fully in control this time. 245/9,,return catch,"7. F du Plessis JJ Bumrah b Bumrah
Test Match#: 2: v South Africa at Centurion in 2018 (2nd innings)"
3,8,F du Plessis,bowled,,8,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-8,"41.4 lets it go and loses his off stump! He stands and stares at the pitch, perhaps wondering why it hasn't made the ball bounce over the wickets. But Bumrah, when he pitches it up, gets balls to skid through and there's that exaggerated angle into the right-hander as well. 107/5",,,"8. F du Plessis b Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
3,9,Q de Kock,caught,PA Patel,8,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-9,"47.2 inside edge to the keeper. De Kock goes for the on-the-up drive and presents a big gap between bat and pad. Bumrah exploits it with just enough help from the pitch, making the ball move against the angle, miss the middle, snag a good chunk of wood through to Parthiv 125/6",,Keeper,"9. Q de Kock PA Patel b Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
3,10,HM Amla,caught,HH Pandya,61,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-10,"59.5 oh he's gonna rue middling that shot. After being beaten; tested on the inside and outside edges, he hits it perfectly off the sweet spot. A very full ball on leg stump - the kind he makes disappear - ends up in the hands of deep square leg. India celebrate. They still have a slight lead. And the last specialist batsman is gone. What an innings though from the Mighty mighty Hash. That little change to his technique; the bravery to do so on viciously tough conditions and the aptitude to not just survive but thrive. 169/7",,Outfield,"10. HM Amla HH Pandya b Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
3,11,AL Phehlukwayo,lbw,,9,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-11,"65.3 strikes him on the full in front of leg and he's gone. But Phehlukwayo has reviewed. A Bumrah full toss. And it's a pretty devastating full toss too. Fast, swinging in just enough that the batsman's flick shot is of little use. HawkEye returns three reds 194/9",,,"11. AL Phehlukwayo lbw Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
