TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player,overs
1,1,HM Amla,caught,RT Ponting,19,1,v South Africa,Johannesburg,South Africa,17 Nov 2011,Test # 2018,cummins-wkt-1,"there's his first Test wicket! Cummins bowls a fullish ball outside off stump, Amla tries to play a powerful drive through cover. He reached out for it without really moving his feet and went hard at the ball. The outside edge flew rapidly to Ponting at second slip, he caught it at head height. Sharp catch. Cummins has been rewarded for a fine effort on debut.",,slip-cordon,"1. HM Amla c RT Ponting b Cummins
Test Match#: 1.0: v South Africa at Johannesburg in 2011 (1st innings)",Cummins,31.1
1,2,JA Rudolph,caught,BJ Haddin,24,3,v South Africa,Johannesburg,South Africa,17 Nov 2011,Test # 2018,cummins-wkt-2,"top edged! Now this is quite a familiar sight in this Test match, another batsman top edges after being well set, this one climbs on Rudolph outside off, he was aiming for over square leg, Haddin takes the skier easily.",,Keeper,"2. JA Rudolph c BJ Haddin b Cummins
Test Match#: 1.0: v South Africa at Johannesburg in 2011 (2nd innings)",Cummins,7.2
1,3,JH Kallis,caught,MJ Clarke,2,3,v South Africa,Johannesburg,South Africa,17 Nov 2011,Test # 2018,cummins-wkt-3,"and a fantastic reward for the young man! He set it up beautifully by peppering him with short deliveries, this time he angles it on the corridor outside off, Kallis pokes at it, hew doesn't have much time to react and the ball takes the edge and flies to Clarke at first slip. This reminds me of the way Ishant Sharma foxed Ponting at the WACA.",,slip-cordon,"3. JH Kallis c MJ Clarke b Cummins
Test Match#: 1.0: v South Africa at Johannesburg in 2011 (2nd innings)",Cummins,27.2
1,4,AB de Villiers,caught,MJ Clarke,73,3,v South Africa,Johannesburg,South Africa,17 Nov 2011,Test # 2018,cummins-wkt-4,"Cummins has struck now, mighty poor half-stroke from AB though, he is caught at second slip, Cummins had been trying to do this all morning, getting the batsman to drive, but the length had not been as full, it was this time, sucked AB out, who tried to push without moving the feet much, and ended up having a sort of poke at it, it still fairly flew off the edge high to Clarke at second slip.",,slip-cordon,"4. AB de Villiers c MJ Clarke b Cummins
Test Match#: 1.0: v South Africa at Johannesburg in 2011 (2nd innings)",Cummins,73.1
1,5,VD Philander,caught,BJ Haddin,23,3,v South Africa,Johannesburg,South Africa,17 Nov 2011,Test # 2018,cummins-wkt-5,"whoa, that is a very late decision from Billy to give him out, Philander was handed a snorter from Cummins first ball after lunch, pitched short and reared up, Philander tried to ride the bounce and fended at it, it seems to have grazed the right thumb on its way to the keeper, there was a sound as well, that is what replays suggest, he had hopped too much in the air for it to show on the Hot Spot frame, Philander reviews it, but he will have to go back.",,Keeper,"5. VD Philander c BJ Haddin b Cummins
Test Match#: 1.0: v South Africa at Johannesburg in 2011 (2nd innings)",Cummins,105.1
1,6,M Morkel,bowled,,0,3,v South Africa,Johannesburg,South Africa,17 Nov 2011,Test # 2018,cummins-wkt-6,"bowled 'em! Cummins has five wickets on Test debut, and he is on a hat-trick, fabulous stuff, Morkel was in the crease, probably expecting the short ball, but Cummins shattered his stumps, getting the yorker spot-on.",,,"6. M Morkel b  Cummins
Test Match#: 1.0: v South Africa at Johannesburg in 2011 (2nd innings)",Cummins,105.2
1,7,DW Steyn,caught,BJ Haddin,41,3,v South Africa,Johannesburg,South Africa,17 Nov 2011,Test # 2018,cummins-wkt-7,"six wickets in the innings for Pat Cummins on Test debut, Steyn backs away and has another swing, this time the ball finds the edge and carries low to Haddin, who dives forward to complete the catch.",,Keeper,"7. DW Steyn c BJ Haddin b Cummins
Test Match#: 1.0: v South Africa at Johannesburg in 2011 (2nd innings)",Cummins,109.6
2,8,KL Rahul,caught,MS Wade,67,2,v India,Ranchi,India,16 Mar 2017,Test # 2256,cummins-wkt-8,"what a beauty from Cummins. He has worked inch by inch for this dismissal, and finally got the edge. Slower bouncer. Rahul sees the line and tries of sway out of its line, but the ball cuts back in to follow his hands, and lobs off the glove for an easy catch for Wade. This is exceptional quick bowling on a flat pitch. For someone playing only his second first-class match in five years, this is really remarkable.",,Keeper,"8. KL Rahul c MS Wade b Cummins
Test Match#: 2.0: v India at Ranchi in 2017 (1st innings)",Cummins,31.2
2,9,V Kohli,caught,SPD Smith,6,2,v India,Ranchi,India,16 Mar 2017,Test # 2256,cummins-wkt-9,"Kohli is gone. Sharp catch at second slip. Pin-drop silence in Ranchi. He is walking slowly. They are checking for a no-ball. He is well in. A loose shot. Wide half-volley, no feet, he drives at it, and the edge flies to second slip, who has crept up because of the low bounce. This one flies at him, giving him little reaction time. He leans back, absorbs the momentum of it, and takes it clean as a whistle. How about that Maxwell chase that brought Kohli on strike? Kohli in the field tried to do the same, and injured himself.",,slip-cordon,"9. V Kohli c SPD Smith b Cummins
Test Match#: 2.0: v India at Ranchi in 2017 (1st innings)",Cummins,80.4
2,10,AM Rahane,caught,MS Wade,14,2,v India,Ranchi,India,16 Mar 2017,Test # 2256,cummins-wkt-10,"bouncer it is, and Cummins gets him. Rahane looks to ramp it. This is too high, but the loopy bounce means it is still in Rahane's sight and he looks to ramp it almost as an afterthought. Too high to reach it. Would have been called wide had he not nicked this, but he nicks it. Off his feet as he connects.",,Keeper,"10. AM Rahane c MS Wade b Cummins
Test Match#: 2.0: v India at Ranchi in 2017 (1st innings)",Cummins,91.2
2,11,R Ashwin,caught,MS Wade,3,2,v India,Ranchi,India,16 Mar 2017,Test # 2256,cummins-wkt-11,"they are appealing for a glove, and they review it after it has not been given. Brute of a bouncer. Right at his head, Ashwin looks to sway out of its line and throws his hands in front of his face. And it takes the glove as it passes the hand. What amazing bowling this is. This has to be reversed. A nasty bouncer. Ashwin is not happy, but if he watches the replays in the dressing room, he will see the evidence.",,Keeper,"11. R Ashwin c MS Wade b Cummins
Test Match#: 2.0: v India at Ranchi in 2017 (1st innings)",Cummins,115.4
3,12,KL Rahul,caught,DA Warner,60,2,v India,Dharamsala,India,25 Mar 2017,Test # 2258,cummins-wkt-12,"and Cummins has got Rahul. The India opener goes for the low-percentage hook to a red-hot bouncer. Rahul hooks from well outside off, and toe-ends it to cover. This is high-quality fast bowling, and Rahul loses his concentration. That third man has made him hook by blocking the ramp.",,Outfield,"12. KL Rahul c DA Warner b Cummins
Test Match#: 3.0: v India at Dharamsala in 2017 (1st innings)",Cummins,40.2
3,13,RA Jadeja,bowled,,63,2,v India,Dharamsala,India,25 Mar 2017,Test # 2258,cummins-wkt-13,"the bluff from Cummins. Bowls the wide length ball after bowling short for a long time. Jadeja drives at it with no feet. He is expecting a bouncer. He throws his hands at this, away from the body, and gets a thick inside edge back onto the stumps. But what an innings from Jadeja. He has got India's noses ahead, and has frustrated Australia.",,,"13. RA Jadeja b  Cummins
Test Match#: 3.0: v India at Dharamsala in 2017 (1st innings)",Cummins,112.1
3,14,WP Saha,caught,SPD Smith,31,2,v India,Dharamsala,India,25 Mar 2017,Test # 2258,cummins-wkt-14,"what a great catch from Smith. He is doing it all by himself here. Brute from Cummins to get the resolute Saha off. Short of a length, rises at his face, and because it has reared off from this length, Saha has to take evasive action. The shoulder of the bat is hit, and the ball looks like it is flying over Smith at second slip. He rushes back and takes it one-handed behind his body and over his head. And while he is coming down, the ball tries to slip out of his hand, but he regains control of it with his whole body out of balance. Australia staying alive now.",,slip-cordon,"14. WP Saha c SPD Smith b Cummins
Test Match#: 3.0: v India at Dharamsala in 2017 (1st innings)",Cummins,114.1
3,15,M Vijay,caught,MS Wade,8,4,v India,Dharamsala,India,25 Mar 2017,Test # 2258,cummins-wkt-15,Cummins gets his man. This is a beauty. Vijay pushes at one outside off. The length ball holds its line to take the edge through to Wade. This time he appeals.,,Keeper,"15. M Vijay c MS Wade b Cummins
Test Match#: 3.0: v India at Dharamsala in 2017 (2nd innings)",Cummins,13.1
