TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,Innings,Opposition,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails
1,1,IJL Trott,bowled,,44,1,v England,Nagpur,India,13 Dec 2012,Test # 2066,jadeja-wkt-1,"left alone and bowled him! What was Trott thinking?! Maybe he had fallen asleep... Jadeja pushed through a regulation delivery that didn't turn, went on with the arm and Trott simply allowed it through, bat pointed at the sky, just a tickle of off stump but that's all it takes and Jadeja has his first wicket in Test cricket!. 102/3 ",,,"1. IJL Trott b  Jadeja
Test Match#: 1.0: v England at Nagpur in 2012 (1st innings)"
1,2,KP Pietersen,caught,PP Ojha,73,1,v England,Nagpur,India,13 Dec 2012,Test # 2066,jadeja-wkt-2,"loose flick into the leg side and taken low by midwicket and now England are really wobbling. And that sums up England's cricket today, rather careless and that was really lazy from Pietersen, chipping a length ball into midwicket and the fielder gets down low and takes it with two hands. 139/5",,InField,"2. KP Pietersen c PP Ojha b Jadeja
Test Match#: 1.0: v England at Nagpur in 2012 (1st innings)"
1,3,KP Pietersen,bowled,,6,3,v England,Nagpur,India,13 Dec 2012,Test # 2066,jadeja-wkt-3,"off stump delivery, Pietersen leaves it and is bowled oh goodness what a blow, Pietersen shouldering arms, the ball has done nothing but go straight on and clip the outside of off stump. An identical dismissal to Trott in the first innings, leaving a delivery too straight that hasn't turned an iota. 94/3",,,"3. KP Pietersen b  Jadeja
Test Match#: 1.0: v England at Nagpur in 2012 (2nd innings)"
2,4,MA Starc,bowled,,3,1,v Australia,Chennai,India,22 Feb 2013,Test # 2074,jadeja-wkt-4,"Ashwin won't get 10. Natural variation from Jadeja. Starc defends playing for turn, but this length ball goes straight on, beats the outside edge, and hits the off stump. 307/7 ",,,"4. MA Starc b  Jadeja
Test Match#: 2.0: v Australia at Chennai in 2013 (1st innings)"
2,5,MJ Clarke,caught,B Kumar,130,1,v Australia,Chennai,India,22 Feb 2013,Test # 2074,jadeja-wkt-5,"Clarke has finally got out. And the wicket comes - as Dhoni has been expecting for hours - through a mistake by the batsman. Clarke skips down the track, is not close to the pitch of the ball, but goes ahead with an attempt to loft it straight down the ground. The ball turns, and hits the outside half of the bat, and Clarke holes out to long-off. 361/8",,Outfield,"5. MJ Clarke c B Kumar b Jadeja
Test Match#: 2.0: v Australia at Chennai in 2013 (1st innings)"
2,6,PJ Hughes,caught,V Sehwag,0,3,v Australia,Chennai,India,22 Feb 2013,Test # 2074,jadeja-wkt-6,"it doesn't matter if the last one did, because this one has. This is a bouncer from a spinner. From a good length no less. Snarls and spits at him, Hughes tries to get out of the way, but the ball follows him and hits the glove. The lob is taken at slip. 65/3 ",,slip-cordon,"6. PJ Hughes c V Sehwag b Jadeja
Test Match#: 2.0: v Australia at Chennai in 2013 (2nd innings)"
2,7,PM Siddle,bowled,,2,3,v Australia,Chennai,India,22 Feb 2013,Test # 2074,jadeja-wkt-7,"this was a'coming. That much spin has got into the tailender's head, and he sweeps across its line, missing a straight ball by a week, and is bowled. 137/7 ",,,"7. PM Siddle b  Jadeja
Test Match#: 2.0: v Australia at Chennai in 2013 (2nd innings)"
2,8,NM Lyon,caught,M Vijay,11,3,v Australia,Chennai,India,22 Feb 2013,Test # 2074,jadeja-wkt-8,"and Jadeja gets the final wicket. Darted in again, Lyon puts his pad forward in defence, but the extra bounce gets a bit of an inside edge onto the pad, and short leg accepts the catch. 241/10",,close-in,"8. NM Lyon c M Vijay b Jadeja
Test Match#: 2.0: v Australia at Chennai in 2013 (2nd innings)"
3,9,MC Henriques,bowled,,5,1,v Australia,Hyderabad,India,2 Mar 2013,Test # 2076,jadeja-wkt-9,"out of nowhere Jadeja has produced a beauty, flights it into the batsman on leg stump, Henriques forward, but instead of defending straight, he's tried to push it to leg, and unfortunately for him, the ball has spun across the bat face to hit the stumps. 217/6 ",,,"9. MC Henriques b  Jadeja
Test Match#: 3.0: v Australia at Hyderabad in 2013 (1st innings)"
3,10,GJ Maxwell,caught,MS Dhoni,13,1,v Australia,Hyderabad,India,2 Mar 2013,Test # 2076,jadeja-wkt-10,"another one for Jadeja, and Dhoni has held on to a chance, hasn't been a good day for him behind the stumps, but he's taken a neat catch, Jadeja straightens it just outside off, the good length made Maxwell go for the back foot punch, the ball bounced sharply, and Dhoni pouched the outside edge. 233/7 ",,Keeper,"10. GJ Maxwell c MS Dhoni b Jadeja
Test Match#: 3.0: v Australia at Hyderabad in 2013 (1st innings)"
