TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player,overs
2,1,E Lewis,stumped,,21,2,v West Indies,Port of Spain,West Indies,25 Jun 2017,ODI # 3896,kuldeep-wkt-1,throws his wicket away. Steps down the track looking for a big hit. Credit to Kuldeep for drawing the batsman forward with some flight. Dips on him and it's a non-turner as well. Makes no contact as he swings and Dhoni completes a straightforward stumping.,,,"1. E Lewis stumped  Kuldeep
Test Match#: 2.0: v West Indies at Port of Spain in 2017 (1st innings)",Kuldeep,19.6
2,2,SD Hope,lbw,,81,2,v West Indies,Port of Spain,West Indies,25 Jun 2017,ODI # 3896,kuldeep-wkt-2,"appeal for leg before, Gaffaney says not out and India have asked for a review. Front foot is fine. Nicely flighted and dips extremely late. Hope gets down for a sweep but is done in by the last-minute dip. Lands just in front of the pad, sneaks from beneath the willow as the batsman misses the sweep and spins in. Looks pretty close, he could be gone here. No bat involved, certainly. Hitting middle and leg, so the on-field call will be reversed.",,,"2. SD Hope lbw  Kuldeep
Test Match#: 2.0: v West Indies at Port of Spain in 2017 (1st innings)",Kuldeep,25.3
2,3,JO Holder,stumped,,29,2,v West Indies,Port of Spain,West Indies,25 Jun 2017,ODI # 3896,kuldeep-wkt-3,.,,,"3. JO Holder stumped  Kuldeep
Test Match#: 2.0: v West Indies at Port of Spain in 2017 (1st innings)",Kuldeep,36.4
3,4,RL Chase,bowled,,2,2,v West Indies,North Sound,West Indies,30 Jun 2017,ODI # 3898,kuldeep-wkt-4,"oh my, that was just brilliant. Not the greatest shot from Chase, though. It's a shot he takes on even against the legspinners, trusting his reach to be able to whip balls against the turn through midwicket, but here it went all wrong - firstly, I don't think he picked the googly, and that meant he was playing down the wrong line and off balance. The ball spun past his shot and hit off stump. Did I mention playing down the wrong line - it's also because it drifted a long way from outside leg and pitched just about on leg stump.",,,"4. RL Chase b  Kuldeep
Test Match#: 3.0: v West Indies at North Sound in 2017 (1st innings)",Kuldeep,13.4
3,5,R Powell,caught,HH Pandya,30,2,v West Indies,North Sound,West Indies,30 Jun 2017,ODI # 3898,kuldeep-wkt-5,"holes out. The pressure was built, the time was ripe for a wrong'un, and pop it came. Good length, turning away from off stump, and climbing too steeply for that slog sweep. Hardik calls from long leg and deep midwicket allows him to get under it and pouch it comfortably.",,Outfield,"5. R Powell c HH Pandya b Kuldeep
Test Match#: 3.0: v West Indies at North Sound in 2017 (1st innings)",Kuldeep,32.4
3,6,JN Mohammed,lbw,,40,2,v West Indies,North Sound,West Indies,30 Jun 2017,ODI # 3898,kuldeep-wkt-6,"oh no. Mohammed was looking good, and now he's out to a poor choice of shot. Looks to sweep from the stumps, and goes after one that's too full. It hits his front foot almost on the full. Yorked the boot. He's called for a review, but this just looked plumb on first viewing... No inside-edge. Pitches on middle, straightening to hit low on middle, and it's even plumber after ball-tracking has its say.",,,"6. JN Mohammed lbw  Kuldeep
Test Match#: 3.0: v West Indies at North Sound in 2017 (1st innings)",Kuldeep,36.5
4,7,E Lewis,caught,V Kohli,35,1,v West Indies,North Sound,West Indies,2 Jul 2017,ODI # 3900,kuldeep-wkt-7,"beautifully bowled. Down the track and the drift does Lewis in. He wants to drive this straighter, over mid-on, but it drifts into him, forces him to hit it squarer, and midwicket takes a good catch diving forward. The ball got too close to Lewis to let him free his arms fully.",,InField,"7. E Lewis c V Kohli b Kuldeep
Test Match#: 4.0: v West Indies at North Sound in 2017 (1st innings)",Kuldeep,21.5
4,8,RL Chase,bowled,,24,1,v West Indies,North Sound,West Indies,2 Jul 2017,ODI # 3900,kuldeep-wkt-8,"whoa, that's a replay of his third-ODI dismissal! Googly, tossed up beautifully outside leg. Chase gets his feet out of the way to try and whip into the leg side, misses completely since he was playing for the stock ball, and the ball turns past his outside edge and clips the top of middle stump. Ball then ricochets and hits Dhoni's helmet grille.",,,"8. RL Chase b  Kuldeep
Test Match#: 4.0: v West Indies at North Sound in 2017 (1st innings)",Kuldeep,31.2
6,9,MVT Fernando,caught,Kuldeep Yadav,5,2,v Sri Lanka,Colombo (RPS),,31 Aug 2017,ODI # 3908,kuldeep-wkt-9,"simple return catch. Kuldeep has deceived him in flight. Fernando looked for a big, booming drive but could only hit it back off a thick inside edge..",,return catch,"9. MVT Fernando c Kuldeep Yadav b Kuldeep
Test Match#: 6.0: v Sri Lanka at Colombo (RPS) in 2017 (1st innings)",Kuldeep,42.3
6,10,SL Malinga,bowled,,0,2,v Sri Lanka,Colombo (RPS),,31 Aug 2017,ODI # 3908,kuldeep-wkt-10,"got him with a big spinning delivery. Landed this just outside off, Malinga went for a big swipe, but could only connect with the humid evening air. Nowhere near the pitch of the ball and lost his middle stump. The plug has been pulled finally. This is Sri Lanka's biggest defeat at home in terms of runs. .",,,"10. SL Malinga b  Kuldeep
Test Match#: 6.0: v Sri Lanka at Colombo (RPS) in 2017 (1st innings)",Kuldeep,42.4
7,11,AD Mathews,caught,MS Dhoni,55,1,v Sri Lanka,Colombo (RPS),,3 Sep 2017,ODI # 3909,kuldeep-wkt-11,"what a soft dismissal that. Kuldeep has the last laugh and he's got the big wicket. Mathews gave away his intention of playing the lap sweep too early, so the bowler shortened his length just a little, this was also the wrong'un. Mathews still went through with it, only get a leading edge to Dhoni..",,Keeper,"11. AD Mathews c MS Dhoni b Kuldeep
Test Match#: 7.0: v Sri Lanka at Colombo (RPS) in 2017 (1st innings)",Kuldeep,41.1
8,12,DA Warner,caught,MS Dhoni,25,2,v Australia,Chennai,India,17 Sep 2017,ODI # 3910,kuldeep-wkt-12,"good catch! It's a slider from Kuldeep. After the slow one that turns away from the corridor. This is straight through at the same line. Warner goes for the cut and gets a big outside edge. Dhoni takes a sharp one that nearly slides out of his gloves. A slight juggle to hold on to it. Kuldeep is ecstatic. Warner, less so..",,Keeper,"12. DA Warner c MS Dhoni b Kuldeep
Test Match#: 8.0: v Australia at Chennai in 2017 (1st innings)",Kuldeep,7.6
8,13,MP Stoinis,caught,RA Jadeja (sub),3,2,v Australia,Chennai,India,17 Sep 2017,ODI # 3910,kuldeep-wkt-13,"wrong'un. Good length outside off. Crouches early to set up for the slog sweep. But again, it's spinning away. He lifts it high towards deep midwicket and Jadeja takes it cleanly.",,Outfield,"13. MP Stoinis c RA Jadeja (sub) b Kuldeep
Test Match#: 8.0: v Australia at Chennai in 2017 (1st innings)",Kuldeep,12.3
9,14,MS Wade,bowled,,2,2,v Australia,Eden Gardens,India,21 Sep 2017,ODI # 3912,kuldeep-wkt-14,"chopped on! Lots of turn and Kuldeep has his front. The routine legbreak, so slow outside off, Wade goes back and tries to cut with an angled bat (more 45 degrees, than the traditional 90), but the ball takes the inside edge and hits the stumps. Big big trouble now for Australia.",,,"14. MS Wade b  Kuldeep
Test Match#: 9.0: v Australia at Eden Gardens in 2017 (1st innings)",Kuldeep,32.2
9,15,AC Agar,lbw,,0,2,v Australia,Eden Gardens,India,21 Sep 2017,ODI # 3912,kuldeep-wkt-15,"given out first ball, and Australia are capitulating. Agar opts not to review. It's the loopy legbreak, Agar plays all around it and misses a full toss - the ball pitches after he missed it. Hits him in front of leg. Umpire Chaudhary's index finger indicates trouble that Australia may not be able to get out of now. It's wristspin again.",,,"15. AC Agar lbw  Kuldeep
Test Match#: 9.0: v Australia at Eden Gardens in 2017 (1st innings)",Kuldeep,32.3
9,16,PJ Cummins,caught,MS Dhoni,0,2,v Australia,Eden Gardens,India,21 Sep 2017,ODI # 3912,kuldeep-wkt-16,"and he has it. Kuldeep takes a hat-trick, and the Eden Gardens goes wild. India are jumping around like 11 children on a playground that have just seen an icecream truck roll in. It's a googly, pitches outside off, Cummins gets forward, looks to defend, but the ball takes the outside edge and settles nicely in Dhoni's gloves. The third Indian hat-trick taker in ODIs.",,Keeper,"16. PJ Cummins c MS Dhoni b Kuldeep
Test Match#: 9.0: v Australia at Eden Gardens in 2017 (1st innings)",Kuldeep,32.4
