TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player
1,1,KOA Powell,caught,B Kumar,28,1,v West Indies,Eden Gardens,India,06-Nov-13,Test # 2101,shami-wkt-1,caught at mid-off! That's Shami's maiden Test match wicket! He delivered the first bouncer of the day outside off stump and Powell shaped to pull. He had to take that from quite wide outside off stump and he got an edge that lobbed up towards mid-off. Bhuvneshwar did well to run backwards from extra cover and take the catch.,,InField,"1. KOA Powell c B Kumar b Shami
Test Match#: 1.0: v West Indies at Eden Gardens in 2013 (1st innings)",Shami
1,2,MN Samuels,bowled,,65,1,v West Indies,Eden Gardens,India,06-Nov-13,Test # 2101,shami-wkt-2,"middle stump's been knocked out of the ground! That ball seemed much quicker, it pitched on a length and cut back into the right-hander, a skiddy delivery. Samuels stayed in his crease and tried to drive through cover, leaving a gap between bat and pad. The ball went through it to hit the top of middle stump. Dhoni's drop has cost India only five runs.",,,"2. MN Samuels b  Shami
Test Match#: 1.0: v West Indies at Eden Gardens in 2013 (1st innings)",Shami
1,3,D Ramdin,bowled,,4,1,v West Indies,Eden Gardens,India,06-Nov-13,Test # 2101,shami-wkt-3,"Shami's done it again! The middle stump has been uprooted! He pitched once again on a good length outside off and swung back into the right-hander, Ramdin was cramped for room as he tried to cut and the ball beat the bat to crash into off stump. Looks like Shami's already reversing it, and he's having a splendid debut.",,,"3. D Ramdin b  Shami
Test Match#: 1.0: v West Indies at Eden Gardens in 2013 (1st innings)",Shami
1,4,SS Cottrell,bowled,,0,1,v West Indies,Eden Gardens,India,06-Nov-13,Test # 2101,shami-wkt-4,"that's it, all over, Shami's battered the off stump again. Four wickets for him on debut. He swung a full ball into Cottrell, who closed the face and tried to play on the leg side. The ball beat the bat, bounced off the pad and uprooted off stump.",,,"4. SS Cottrell b  Shami
Test Match#: 1.0: v West Indies at Eden Gardens in 2013 (1st innings)",Shami
1,5,MN Samuels,lbw,,4,3,v West Indies,Eden Gardens,India,06-Nov-13,Test # 2101,shami-wkt-5,"lbw! After reversing the ball away from the right-hander, Shami swings it into him and hits Samuels on the knee roll of the front pad. That looked like it was missing leg stump but umpire Llong did not think so. Replays indicate it would have missed leg stump, considering how much it swung. Excellent variation from Shami though..",,,"5. MN Samuels lbw  Shami
Test Match#: 1.0: v West Indies at Eden Gardens in 2013 (2nd innings)",Shami
1,6,D Ramdin,caught,M Vijay,1,3,v West Indies,Eden Gardens,India,06-Nov-13,Test # 2101,shami-wkt-6,"caught at short leg! Shami pitches on a length just outside off and swings it into the right-hander, cramping Ramdin for room as he defends from the crease. The ball takes the inside edge, and lobs up off the pad towards short leg, where Vijay catches it easily.",,close-in,"6. D Ramdin c M Vijay b Shami
Test Match#: 1.0: v West Indies at Eden Gardens in 2013 (2nd innings)",Shami
1,7,DJG Sammy,bowled,,8,3,v West Indies,Eden Gardens,India,06-Nov-13,Test # 2101,shami-wkt-7,"Shami's done it again with reverse swing! He's battered middle stump. The ball pitched on a length outside off stump and jagged back viciously into the right-hander, Sammy was caught on the crease as he tried to defend and was beaten between bat and body. That ball kept a bit low too, considering the length it pitched, and skidded on to uproot middle stump.",,,"7. DJG Sammy b  Shami
Test Match#: 1.0: v West Indies at Eden Gardens in 2013 (2nd innings)",Shami
1,8,S Shillingford,bowled,,0,3,v West Indies,Eden Gardens,India,06-Nov-13,Test # 2101,shami-wkt-8,"he's knocked another one over! Shami has eight in the Test. He bowled it full and reverse swung the ball back into Shillingford, who was half forward as he drove at the ball with a gap between bat and pad. Shami went through that gap and off stump took a hit this time.",,,"8. S Shillingford b  Shami
Test Match#: 1.0: v West Indies at Eden Gardens in 2013 (2nd innings)",Shami
1,9,SS Cottrell,bowled,,5,3,v West Indies,Eden Gardens,India,06-Nov-13,Test # 2101,shami-wkt-9,Shami has ended the game and completed his five for! He burst through Cottrell's defences with a full ball that jagged back tremendously through the gap between bat and pad to flatten middle stump. India have won by an innings and Shami has nine in the Test.,,,"9. SS Cottrell b  Shami
Test Match#: 1.0: v West Indies at Eden Gardens in 2013 (2nd innings)",Shami
2,10,CH Gayle,caught,RG Sharma,11,1,v West Indies,Wankhede,India,14-Nov-13,Test # 2102,shami-wkt-10,"caught at gully, and Shami's dream run continues. West Indies' big man is gone. It was back of a length, tucked him up for room. There was a little away movement and Gayle poked at it, with very little feet, got the shoulder of the bat and the ball lobbed to the left of gully where Rohit picks up a smart catch.",,close-in,"10. CH Gayle c RG Sharma b Shami
Test Match#: 2.0: v West Indies at Wankhede in 2013 (1st innings)",Shami
2,11,ST Gabriel,bowled,,0,3,v West Indies,Wankhede,India,14-Nov-13,Test # 2102,shami-wkt-11,"the middle stump is flattened! Shami gets him with the swing he's known for! This was full and Gabriel was pushing forward, breaches his defense and the middle stump lands a couple of yards back.",,,"11. ST Gabriel b  Shami
Test Match#: 2.0: v West Indies at Wankhede in 2013 (2nd innings)",Shami
3,12,JP Duminy,caught,M Vijay,2,2,v South Africa,Johannesburg,South Africa,18-Dec-13,Test # 2108,shami-wkt-12,"he has one straight away! First slip pouches a regulation catch and Duminy has to walk back. India are right back in this. Lovely ball, just full enough and close enough to the off stump to draw him into a stroke and the resulting edge is safely taken by M Vijay.",,slip-cordon,"12. JP Duminy c M Vijay b Shami
Test Match#: 3.0: v South Africa at Johannesburg in 2013 (1st innings)",Shami
3,13,AB de Villiers,lbw,,13,2,v South Africa,Johannesburg,South Africa,18-Dec-13,Test # 2108,shami-wkt-13,"That is a big strike! AB is trapped in front of the stumps by one that skids and ducks in off the pitch. AB was stuck on his back foot to a fullish ball and when the ball began to move, he was in no position to adjust and was struck on the pads before he could bring his bat down and perfectly in line with the stumps.",,,"13. AB de Villiers lbw  Shami
Test Match#: 3.0: v South Africa at Johannesburg in 2013 (1st innings)",Shami
3,14,HM Amla,bowled,,4,4,v South Africa,Johannesburg,South Africa,18-Dec-13,Test # 2108,shami-wkt-14,"that is the second freak dismissal in the match for Amla. he was leaving the ball again having seen it pitched short, but this one keeps so low that it hits top of off! Amla was ducking low, pulling his bat, gloves and helmet away from the ball, which allows a clean path for the ball to crash into the stumps! Amla cannot believe it as he goes off shaking his head. The ball sneaked under his chin as he was ducking!.",,,"14. HM Amla b  Shami
Test Match#: 3.0: v South Africa at Johannesburg in 2013 (2nd innings)",Shami
3,15,AN Petersen,bowled,,76,4,v South Africa,Johannesburg,South Africa,18-Dec-13,Test # 2108,shami-wkt-15,played on! And I think it kept a touch low as well! A tame hang of the bat to the back of a length ball outside off stump results in an inside edge that cannons into his stumps. Petersen did not look anywhere near comfortable this morning and both bowlers deserve credit for this wicket for the mix of short and full balls at him.,,,"15. AN Petersen b  Shami
Test Match#: 3.0: v South Africa at Johannesburg in 2013 (2nd innings)",Shami
3,16,JP Duminy,bowled,,5,4,v South Africa,Johannesburg,South Africa,18-Dec-13,Test # 2108,shami-wkt-16,knocks onto his stumps again! Goes for the expansive cover drive on the up and the length ball takes a thick inside edge and rams into the stumps. India are in a huddle and MSD is leading them in a spirited discussion. India flags are out and about. Things are tensing up as the Vern comes out.,,,"16. JP Duminy b  Shami
Test Match#: 3.0: v South Africa at Johannesburg in 2013 (2nd innings)",Shami
4,17,HM Amla,bowled,,3,2,v South Africa,Durban,South Africa,26-Dec-13,Test # 2111,shami-wkt-17,"he's stuck on the crease, Shami gets this one to straighten and the off stump is grazed just hard enough for the bails to be dislodged. That was a pretty good cherry as it began angling in and seamed just enough away off the wicket to beat Amla's prodding bat. Think he might have been searching for the reversing inswinger there.",,,"17. HM Amla b  Shami
Test Match#: 4.0: v South Africa at Durban in 2013 (1st innings)",Shami
5,18,TG Southee,bowled,,28,1,v New Zealand,Auckland,New Zealand,06-Feb-14,Test # 2118,shami-wkt-18,"moves too far across. He has been doing this to get runs fine on the leg side, but this time he has gone too far, exposing his middle and leg stumps. Shami hits them, beating Southee's attempt to flick.",,,"18. TG Southee b  Shami
Test Match#: 5.0: v New Zealand at Auckland in 2014 (1st innings)",Shami
5,19,HD Rutherford,lbw,,0,3,v New Zealand,Auckland,New Zealand,06-Feb-14,Test # 2118,shami-wkt-19,"that's a superb delivery. It is plumb if he hasn't got an inside edge. A poor Test for Rutherford continues. Pitched up, middle and leg, swings back in, beats the inside edge, hits back pad. That is taking middle and leg flush. Awfully close to the inside edge, but there is no bat involved here.",,,"19. HD Rutherford lbw  Shami
Test Match#: 5.0: v New Zealand at Auckland in 2014 (2nd innings)",Shami
5,20,PG Fulton,caught,RA Jadeja,5,3,v New Zealand,Auckland,New Zealand,06-Feb-14,Test # 2118,shami-wkt-20,"and now New Zealand are two down. Soft dismissal. Half-volley just outside off, and he is not leaning forward into the drive. Fails to keep it down, and short cover takes the catch.",,close-in,"20. PG Fulton c RA Jadeja b Shami
Test Match#: 5.0: v New Zealand at Auckland in 2014 (2nd innings)",Shami
5,21,CJ Anderson,bowled,,2,3,v New Zealand,Auckland,New Zealand,06-Feb-14,Test # 2118,shami-wkt-21,"beauty from Shami. He has come back really well from a poor first innings. This is quick, skiddy and seams in. Short of a length, just outside off, and then it goes after pitching, through the gap, and hits the top of the stumps.",,,"21. CJ Anderson b  Shami
Test Match#: 5.0: v New Zealand at Auckland in 2014 (2nd innings)",Shami
