TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player,overs
1,1,M Labuschagne,caught,Shubman Gill,48,1,v Australia,Melbourne,Australia,26 Dec 2020,Test # 2398,siraj-wkt-1,"Gill takes a brilliant catch at backward square leg to give his fellow debutant his maiden Test wicket. Siraj bowled this from wide of the crease, Labuschagne had been glancing them for ease so far. He tries again but cannot keep this fine enough or down. Gill dives to his right and takes a good, low catch.",,InField,"1. M Labuschagne c Shubman Gill b Siraj
Test Match#: 1.0: v Australia at Melbourne in 2020 (1st innings)",Siraj,49.3
1,2,C Green,lbw,,12,1,v Australia,Melbourne,Australia,26 Dec 2020,Test # 2398,siraj-wkt-2,"sucker ball! Kept bowling deliveries that go away and then gets this to slant back in full and nip in, Green plays all around the line to be struck on the pad, given out on field and Green chooses to review He didn't review immediately so definitely no bat that means, only question is if this was missing, but that too is very unlikely because he was struck on the right pad. Ball tracking confirms this would've smashed the stumps so Green has to go and Siraj has a second wicket. What an impressive spell he's turned in after tea. India continue to chip away.",,,"2. C Green lbw  Siraj
Test Match#: 1.0: v Australia at Melbourne in 2020 (1st innings)",Siraj,61.4
1,3,TM Head,caught,MA Agarwal,17,3,v Australia,Melbourne,Australia,26 Dec 2020,Test # 2398,siraj-wkt-3,"got him! Siraj gets stuck in immediately as he comes back. Slants a length ball across, there's a hint of movement and Head is caught nicking to second slip as he looks to punch one away from the body. Awful shot under the circumstances..",,slip-cordon,"3. TM Head c MA Agarwal b Siraj
Test Match#: 1.0: v Australia at Melbourne in 2020 (2nd innings)",Siraj,46.1
1,4,C Green,caught,RA Jadeja,45,3,v Australia,Melbourne,Australia,26 Dec 2020,Test # 2398,siraj-wkt-4,"taken at midwicket! Siraj has done the job on debut! Short of a length and hurrying into the corridor. Green looking to capitalise on the field being in again, looking for the boundary shot - the pull. He got out trying the exact thing against Ashwin in the last match. It gets big on him and comes off the high, inside part of the bat. Floats to Jadeja's right and he times his jump well to hang on. An innings of so much promise ends tamely. He's show his wares, this guy. Couldn't stretch on this time.",,InField,"4. C Green c RA Jadeja b Siraj
Test Match#: 1.0: v Australia at Melbourne in 2020 (2nd innings)",Siraj,90.6
1,5,NM Lyon,caught,RR Pant,3,3,v Australia,Melbourne,Australia,26 Dec 2020,Test # 2398,siraj-wkt-5,"taken down leg side. That was going to be the last over before lunch, possibly, and Australia are nine down. Short and a bit too quick for Lyon's pull at hip height. He's strangled and gets a glove on that. Doesn't review it. Wicket number five for Siraj on debut.",,Keeper,"5. NM Lyon c RR Pant b Siraj
Test Match#: 1.0: v Australia at Melbourne in 2020 (2nd innings)",Siraj,96.4
2,6,DA Warner,caught,CA Pujara,5,1,v Australia,Sydney,Australia,7 Jan 2021,Test # 2402,siraj-wkt-6,"first wicket!. A touch fuller this time, Warner once again tries to reach it with his hands, hardly any footwork there. Pushes at it, gets a healthy outside edge and Pujara takes it with reverse cups, in front of his face at first slip.",,slip-cordon,"6. DA Warner c CA Pujara b Siraj
Test Match#: 2.0: v Australia at Sydney in 2021 (1st innings)",Siraj,3.3
2,7,WJ Pucovski,caught,WP Saha (sub),10,3,v Australia,Sydney,Australia,7 Jan 2021,Test # 2402,siraj-wkt-7,"gets the outside edge. Superb ball, not much Pucovski could do. Banged in on a hard length and gets it to move appreciably away. Pucovski shaping to defend but the ball kisses the outside edge and Saha dives to his right to hold on..",,Keeper,"7. WJ Pucovski c WP Saha (sub) b Siraj
Test Match#: 2.0: v Australia at Sydney in 2021 (2nd innings)",Siraj,5.5
3,8,DA Warner,caught,RG Sharma,1,1,v Australia,Brisbane,Australia,15 Jan 2021,Test # 2404,siraj-wkt-8,"gone, Siraj strikes in the first over, and Warner is gone playing an uncertain shot. Beautiful length and line, slanting across and ending up tight on off stump. I don't know if it's seamed away, or if it's just kept going with the angle with the batsman playing for swing into him. Warner has a feel for it without really getting a stride to the ball, and second slip dives in front of first to take an outstanding low catch. A little bit of away seam, and Rohit has taken a blinder, diving to his right.",,slip-cordon,"8. DA Warner c RG Sharma b Siraj
Test Match#: 3.0: v Australia at Brisbane in 2021 (1st innings)",Siraj,0.6
3,9,M Labuschagne,caught,RG Sharma,25,3,v Australia,Brisbane,Australia,15 Jan 2021,Test # 2404,siraj-wkt-9,"taken at second slip this time! Siraj gets some extra bounce from a length and pins Marnus in the crease. He looks to defend this ball in the corridor, it gets big on him and straightens a touch. Straight into Rohit's pouch.",,slip-cordon,"9. M Labuschagne c RG Sharma b Siraj
Test Match#: 3.0: v Australia at Brisbane in 2021 (2nd innings)",Siraj,30.3
3,10,MS Wade,caught,RR Pant,0,3,v Australia,Brisbane,Australia,15 Jan 2021,Test # 2404,siraj-wkt-10,"Wade's walking! Caught down leg side. A full ball on the pads. Looks to flick that away and seems to have found the inside edge. Pant lunges to his right to hold on. Not even the thought of a review there, Wade is straight off.",,Keeper,"10. MS Wade c RR Pant b Siraj
Test Match#: 3.0: v Australia at Brisbane in 2021 (2nd innings)",Siraj,30.6
3,11,SPD Smith,caught,AM Rahane,55,3,v Australia,Brisbane,Australia,15 Jan 2021,Test # 2404,siraj-wkt-11,"this leaps, and is fended to gully! Hang on a moment, Smith thinks this may have hit the glove when it was off the bat handle and has called the review. It leapt off the pitch from back of a length...and, nope, the glove was certainly on the handle at point of impact. He could nothing about that, really, and it looped to Rahane. Australia's quicks won't mind seeing that.",,InField,"11. SPD Smith c AM Rahane b Siraj
Test Match#: 3.0: v Australia at Brisbane in 2021 (2nd innings)",Siraj,54.2
