TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player,overs
1,1,BB McCullum,caught,DA Warner,34,1,v New Zealand,Brisbane,Australia,1 Dec 2011,Test # 2020,starc-wkt-1,"Starc has a first wicket, and he couldn't have got a more explosive pair of names on the dismissal than McCullum and Warner! Short of a length again, and that natural angle and seam brings it back into McCullum, who can't resist the urge to cut, nay shred, the short ball even if it isn't wide enough. He ends up carving it straight to Warner at point and he's on his way..",,InField,"1. BB McCullum c DA Warner b Starc
Test Match#: 1.0: v New Zealand at Brisbane in 2011 (1st innings)",Starc,15.6
1,2,JD Ryder,caught,DA Warner,6,1,v New Zealand,Brisbane,Australia,1 Dec 2011,Test # 2020,starc-wkt-2,"didn't Jesse have enough for lunch? He's already on his way back for more. The very epitome of a hare-brained shot. Short, miles wide outside off and he doesn't bother getting across for the cut. Just reaches out and smashes it in the air, the balance all awry, straight to gully. We have seen some poor shots today, and by the looks of it there's more to come..",,close-in,"2. JD Ryder c DA Warner b Starc
Test Match#: 1.0: v New Zealand at Brisbane in 2011 (1st innings)",Starc,25.6
2,3,KS Williamson,caught,BJ Haddin,19,1,v New Zealand,Hobart,Australia,9 Dec 2011,Test # 2021,starc-wkt-3,"caught-behind, caught down the leg side, a fortunate breakthrough for Starc, clear impact with the bat, down the leg side and Williamson chased it, trying to glance it down to the fine-leg boundary, made contact but it wasn't far enough from Haddin who dived to his left to complete a good catch, four down now.",,Keeper,"3. KS Williamson c BJ Haddin b Starc
Test Match#: 2.0: v New Zealand at Hobart in 2011 (1st innings)",Starc,18.2
2,4,TG Southee,bowled,,18,1,v New Zealand,Hobart,Australia,9 Dec 2011,Test # 2021,starc-wkt-4,"Brownlie's stranded, Southee chases a wide delivery from Starc, aiming to strike that through cover and drags it onto the stumps. That's two lower-order partnerships that showed some mettle, only to be cut short by avoidable shots.",,,"4. TG Southee b  Starc
Test Match#: 2.0: v New Zealand at Hobart in 2011 (1st innings)",Starc,44.1
3,5,R Vinay Kumar,lbw,,5,1,v India,Perth,Australia,13 Jan 2012,Test # 2029,starc-wkt-5,"Starc doesn't take too long to make an impact this session, first ball wicket for him, that one swings in towards the pad, no doubt about that one, Vinay's first Test innings is a short one, cue more ""where's Ashwin?"" mails.",,,"5. R Vinay Kumar lbw  Starc
Test Match#: 3.0: v India at Perth in 2012 (1st innings)",Starc,56.1
3,6,I Sharma,caught,BJ Haddin,3,1,v India,Perth,Australia,13 Jan 2012,Test # 2029,starc-wkt-6,"that didn't take long at all, less than hour an half after tea, the tail keels over, Ishant nicks a short of length ball to the keeper, at least India managed 191 in Sydney, this time it's only 161.",,Keeper,"6. I Sharma c BJ Haddin b Starc
Test Match#: 3.0: v India at Perth in 2012 (1st innings)",Starc,60.2
3,7,G Gambhir,caught,MEK Hussey,14,3,v India,Perth,Australia,13 Jan 2012,Test # 2029,starc-wkt-7,"What a scorcher! Banged in short and that darted away, Gambhir was taken by surprise, got on the back foot and tried to play it into the leg side, almost trying to fend it away, the ball pops up towards gully and Hussey takes a comfortable catch, an excellent short ball by Starc, India under greater pressure now. Came off the handle.",,close-in,"7. G Gambhir c MEK Hussey b Starc
Test Match#: 3.0: v India at Perth in 2012 (2nd innings)",Starc,10.2
3,8,SR Tendulkar,lbw,,8,3,v India,Perth,Australia,13 Jan 2012,Test # 2029,starc-wkt-8,"Tendulkar is gone! the Starc swing does the job, lbw once more, pitching on middle and snaking in, Tendulkar looking to play straight but can't put bat on it, struck on the pads, the height wasn't an issue, that would have probably taken the outside of leg stump, that was a tight call, Tendulkar walks off shaking his head, India in utter disarray, Starc is utterly delighted.",,,"8. SR Tendulkar lbw  Starc
Test Match#: 3.0: v India at Perth in 2012 (2nd innings)",Starc,16.1
4,9,S Shillingford,bowled,,0,2,v West Indies,Roseau,West Indies,23 Apr 2012,Test # 2042,starc-wkt-9,"bowled first ball! A fabulous full, inswinging delivery that is far too good for Shillingford, he's so late on it and didn't move his feet, getting a little inside edge onto the off stump.",,,"9. S Shillingford b  Starc
Test Match#: 4.0: v West Indies at Roseau in 2012 (1st innings)",Starc,51.6
4,10,S Chanderpaul,lbw,,68,2,v West Indies,Roseau,West Indies,23 Apr 2012,Test # 2042,starc-wkt-10,"that looks gone, that was shaping up to be an outswinger to the left-hander, it straightened in the air too from over the stumps after being angled in, Chanders cannot be blamed for pushing at the original line, but it then moves in after pitching on a good length on off, that would have crashed into middle, Chanders reviews umpire Erasmus' out call, he will have to walk back.",,,"10. S Chanderpaul lbw  Starc
Test Match#: 4.0: v West Indies at Roseau in 2012 (1st innings)",Starc,87.2
5,11,AN Petersen,bowled,,30,1,v South Africa,Perth,Australia,30 Nov 2012,Test # 2064,starc-wkt-11,"Starc breaks through, close to lunch, the fuller length and late inswing does it, Petersen plays outside the line, it bursts through the gate and his stumps are rattled, Starc is delighted, the crowd roars, and then they have to check for the no-ball, drains the moment of all spontaneity, halts it midway, but Starc is safe, and the celebration can resume.",,,"11. AN Petersen b  Starc
Test Match#: 5.0: v South Africa at Perth in 2012 (1st innings)",Starc,22.4
5,12,JH Kallis,bowled,,2,1,v South Africa,Perth,Australia,30 Nov 2012,Test # 2064,starc-wkt-12,"Mitchell Starc, you beauty, you ripper, you've taken out the great man at the stroke of lunch, similar to the way Petersen went, bowled through the gate, pitched up full, swinging in late, Kallis lured into a drive without moving his feet, and another one sneaks through.",,,"12. JH Kallis b  Starc
Test Match#: 5.0: v South Africa at Perth in 2012 (1st innings)",Starc,24.3
5,13,GC Smith,caught,NM Lyon,84,3,v South Africa,Perth,Australia,30 Nov 2012,Test # 2064,starc-wkt-13,"brilliance from Lyon to lift Australia's sagging spirits! Terrific outfield catch there, it was banged in short and Smith couldn't resist the pull, this was over square leg and Lyon ran in hard from the deep, covered a lot of ground, kept his eyes on it and timed his dive really well, cupped it inches from the turf on the dive, Bill Lawry calls that a ""rippaahh"".",,InField,"13. GC Smith c NM Lyon b Starc
Test Match#: 5.0: v South Africa at Perth in 2012 (2nd innings)",Starc,32.3
