TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player,overs
1,1,ME Trescothick,bowled,,47,2,v England,Gqeberha,,17 Dec 2004,Test # 1728,styen-wkt-1,.,,,"1. ME Trescothick b  Steyn
Test Match#: 1.0: v England at Gqeberha in 2004 (1st innings)",Steyn,42.4
1,2,SP Jones,caught,DW Steyn,24,2,v England,Gqeberha,,17 Dec 2004,Test # 1728,styen-wkt-2,.,,return catch,"2. SP Jones c DW Steyn b Steyn
Test Match#: 1.0: v England at Gqeberha in 2004 (1st innings)",Steyn,126.5
1,3,MP Vaughan,bowled,,15,4,v England,Gqeberha,,17 Dec 2004,Test # 1728,styen-wkt-3,.,,,"3. MP Vaughan b  Steyn
Test Match#: 1.0: v England at Gqeberha in 2004 (2nd innings)",Steyn,14.6
2,4,MA Butcher,bowled,,5,1,v England,Durban,South Africa,26 Dec 2004,Test # 1730,styen-wkt-4,.,,,"4. MA Butcher b  Steyn
Test Match#: 2.0: v England at Durban in 2004 (1st innings)",Steyn,17.1
2,5,AF Giles,caught,JA Rudolph,10,1,v England,Durban,South Africa,26 Dec 2004,Test # 1730,styen-wkt-5,.,,Outfield,"5. AF Giles c JA Rudolph b Steyn
Test Match#: 2.0: v England at Durban in 2004 (1st innings)",Steyn,51.5
2,6,AF Giles,caught,AB de Villiers,0,3,v England,Durban,South Africa,26 Dec 2004,Test # 1730,styen-wkt-6,.,,Keeper,"6. AF Giles c AB de Villiers b Steyn
Test Match#: 2.0: v England at Durban in 2004 (2nd innings)",Steyn,172.3
3,7,ME Trescothick,caught,MV Boucher,16,1,v England,Johannesburg,South Africa,13 Jan 2005,Test # 1734,styen-wkt-7,.,,Keeper,"7. ME Trescothick c MV Boucher b Steyn
Test Match#: 3.0: v England at Johannesburg in 2005 (1st innings)",Steyn,15.2
3,8,AF Giles,caught,HH Gibbs,26,1,v England,Johannesburg,South Africa,13 Jan 2005,Test # 1734,styen-wkt-8,.,,InField,"8. AF Giles c HH Gibbs b Steyn
Test Match#: 3.0: v England at Johannesburg in 2005 (1st innings)",Steyn,109.1
4,9,NJ Astle,caught,MV Boucher,4,2,v New Zealand,Centurion,South Africa,15 Apr 2006,Test # 1798,styen-wkt-9,"Steyn joins the party! full length ball around the off stump, swinging away, Astle doesnt move his feet and just tries to defend, ball takes the outside edge and straight to Boucher, New Zealand in all sorts of trouble!.",,Keeper,"9. NJ Astle c MV Boucher b Steyn
Test Match#: 4.0: v New Zealand at Centurion in 2006 (1st innings)",Steyn,12.2
4,10,JDP Oram,caught,SM Pollock,133,2,v New Zealand,Centurion,South Africa,15 Apr 2006,Test # 1798,styen-wkt-10,"All out! slower ball on the stumps, Oram looks to hammer through legside, gets the top edge and ball goes high in the air, Pollock runs in from long-on and takes a smart catch at mid-on, that brings an end to an amazing innings under pressure.",,Outfield,"10. JDP Oram c SM Pollock b Steyn
Test Match#: 4.0: v New Zealand at Centurion in 2006 (1st innings)",Steyn,71.4
4,11,SP Fleming,caught,JH Kallis,6,4,v New Zealand,Centurion,South Africa,15 Apr 2006,Test # 1798,styen-wkt-11,"Three down! good length ball around the off stump, swinging away, Fleming drives off the front-foot and gets the outside edge, straight to Kallis at second slip, Kiwis tumbling here!.",,slip-cordon,"11. SP Fleming c JH Kallis b Steyn
Test Match#: 4.0: v New Zealand at Centurion in 2006 (2nd innings)",Steyn,7.2
4,12,SB Styris,caught,MV Boucher,2,4,v New Zealand,Centurion,South Africa,15 Apr 2006,Test # 1798,styen-wkt-12,"Steyn picks one more! fraction short around the off stump, swinging away, batsman moves back and pushes, takes the outside edge and straight to Boucher.",,Keeper,"12. SB Styris c MV Boucher b Steyn
Test Match#: 4.0: v New Zealand at Centurion in 2006 (2nd innings)",Steyn,9.2
4,13,BB McCullum,caught,HH Dippenaar,33,4,v New Zealand,Centurion,South Africa,15 Apr 2006,Test # 1798,styen-wkt-13,"Steyn provides breakthrough! fraction short around the off stump, shaping away, McCullum moves back and tries to punch, ball takes the outside edge and straight to Dippenaar at first slip.",,slip-cordon,"13. BB McCullum c HH Dippenaar b Steyn
Test Match#: 4.0: v New Zealand at Centurion in 2006 (2nd innings)",Steyn,23.1
4,14,DL Vettori,caught,MV Boucher,38,4,v New Zealand,Centurion,South Africa,15 Apr 2006,Test # 1798,styen-wkt-14,"Steyn joins the party as well! short ball outside off stump, Vettori moves back and cuts it, gets the nick and Boucher takes another catch,his 4th catch of the innings..",,Keeper,"14. DL Vettori c MV Boucher b Steyn
Test Match#: 4.0: v New Zealand at Centurion in 2006 (2nd innings)",Steyn,35.3
4,15,CS Martin,bowled,,0,4,v New Zealand,Centurion,South Africa,15 Apr 2006,Test # 1798,styen-wkt-15,"All over! full length ball on the middle stump, swinging away, Martin moves back and tries to play it away onside, has no clue to the outswing, beaten all ends up and ball crashes into the stumps.",,,"15. CS Martin b  Steyn
Test Match#: 4.0: v New Zealand at Centurion in 2006 (2nd innings)",Steyn,35.6
5,16,PG Fulton,caught,MV Boucher,36,1,v New Zealand,Cape Town,South Africa,27 Apr 2006,Test # 1800,styen-wkt-16,"Steyn strikes, excellent delivery back of a length, just moves away slightly, Fulton on the back foot, gets an edge, Boucher dives full length to his right and takes the catch one handed, wonderful effort..",,Keeper,"16. PG Fulton c MV Boucher b Steyn
Test Match#: 5.0: v New Zealand at Cape Town in 2006 (1st innings)",Steyn,21.2
5,17,MHW Papps,caught,AG Prince,20,3,v New Zealand,Cape Town,South Africa,27 Apr 2006,Test # 1800,styen-wkt-17,"Steyn strikes, excellent delivery short of a length outside the off stump, moves away, Papps on the move backwards, edges the ball in the air to Prince at fourth slip, who takes an excellent catch to his left, the ball was travelling. Prince was in the air when he took that catch, splendid effort.",,slip-cordon,"17. MHW Papps c AG Prince b Steyn
Test Match#: 5.0: v New Zealand at Cape Town in 2006 (2nd innings)",Steyn,8.1
6,18,JM How,caught,AB de Villiers,0,1,v New Zealand,Johannesburg,South Africa,5 May 2006,Test # 1801,styen-wkt-18,"Steyn strikes! good length delivery, shaping back in from close to the off stump line, angled in and seaming away, How looking to work it away on the leg side opens the face of the bat bit too early, ball clips the leading edge and goes straight to AB de Villiers at third slip, New Zealand one down!.",,Keeper,"18. JM How c AB de Villiers b Steyn
Test Match#: 6.0: v New Zealand at Johannesburg in 2006 (1st innings)",Steyn,1.2
6,19,NJ Astle,caught,JH Kallis,20,1,v New Zealand,Johannesburg,South Africa,5 May 2006,Test # 1801,styen-wkt-19,"got'm! good length delivery on and around the off stump line, drifting in and seaming away, too good a delivery for Astle who tamely nicks it straight to Kallis at second slip, New Zealand four down.",,slip-cordon,"19. NJ Astle c JH Kallis b Steyn
Test Match#: 6.0: v New Zealand at Johannesburg in 2006 (1st innings)",Steyn,23.2
6,20,DL Vettori,lbw,,2,1,v New Zealand,Johannesburg,South Africa,5 May 2006,Test # 1801,styen-wkt-20,"and the slump continues! good length delivery, pitched in line and this one straightened a bit, Vettori plays down the wrong line and the ball hits the pad right in front of the stumps, falling over as he played the shot, umpire de Silva took his time and in the end adjudicated in favour of bowler..",,,"20. DL Vettori lbw  Steyn
Test Match#: 6.0: v New Zealand at Johannesburg in 2006 (1st innings)",Steyn,29.4
6,21,JM How,lbw,,4,3,v New Zealand,Johannesburg,South Africa,5 May 2006,Test # 1801,styen-wkt-21,"got'm! good length delivery, shaping in from close to the off stump line, late swing - How plays down the wrong line and is trapped plumb in front, Steyn strikes early.",,,"21. JM How lbw  Steyn
Test Match#: 6.0: v New Zealand at Johannesburg in 2006 (2nd innings)",Steyn,2.1
6,22,NJ Astle,caught,MV Boucher,45,3,v New Zealand,Johannesburg,South Africa,5 May 2006,Test # 1801,styen-wkt-22,"gone this time! pitched up on the middle and off stump line, excellent line and length, Astle had to play at it, drives with zero footwork, ball kisses the outside edge and goes straight to Boucher behind the stumps, Steyn continues to impress.",,Keeper,"22. NJ Astle c MV Boucher b Steyn
Test Match#: 6.0: v New Zealand at Johannesburg in 2006 (2nd innings)",Steyn,41.4
6,23,SB Styris,caught,DW Steyn,42,3,v New Zealand,Johannesburg,South Africa,5 May 2006,Test # 1801,styen-wkt-23,"it's that man Steyn again! short and on the stumps, testing delivery and Styris falls right into the trap, goes for the pull and the ball steeples off the top edge towards the non-striker's end, Steyn calls for it and nicely settles under it, New Zealand five down!.",,return catch,"23. SB Styris c DW Steyn b Steyn
Test Match#: 6.0: v New Zealand at Johannesburg in 2006 (2nd innings)",Steyn,45.3
6,24,JDP Oram,caught,HH Dippenaar,27,3,v New Zealand,Johannesburg,South Africa,5 May 2006,Test # 1801,styen-wkt-24,"good length delivery on the middle and off stump line, Oram drives off the back-foot and the ball spoons up towards mid-off, Dippenaar there dives forward full length and takes a fantastic catch - bowling change works for Smith, New Zealand seven down!.",,InField,"24. JDP Oram c HH Dippenaar b Steyn
Test Match#: 6.0: v New Zealand at Johannesburg in 2006 (2nd innings)",Steyn,67.1
7,25,ST Jayasuriya,lbw,,4,2,v Sri Lanka,Colombo (SSC),Sri lanka,27 Jul 2006,Test # 1810,styen-wkt-25,"It was fast and quick on the leg stump, going straight on, Jayasuriya looking to play to the on side, misses the line off the ball and gets hit on the pad in line with the leg stump, loud appeal from everybody close in, Umpire Benson lifts his finger. That's a big wicket.",Yes,,"25. ST Jayasuriya lbw  Steyn
Test Match#: 7.0: v Sri Lanka at Colombo (SSC) in 2006 (1st innings)",Steyn,1.3
7,26,WU Tharanga,caught,MV Boucher,7,2,v Sri Lanka,Colombo (SSC),Sri lanka,27 Jul 2006,Test # 1810,styen-wkt-26,"Steyn strikes again, short down the leg side, it was bit closer to the body, Tharanga looking to pull, gets a glove to it, goes straight into the gloves of Boucher, who takes it gleefully. Sri Lanka are two down for 15..",,Keeper,"26. WU Tharanga c MV Boucher b Steyn
Test Match#: 7.0: v Sri Lanka at Colombo (SSC) in 2006 (1st innings)",Steyn,3.3
7,27,TM Dilshan,lbw,,45,2,v Sri Lanka,Colombo (SSC),Sri lanka,27 Jul 2006,Test # 1810,styen-wkt-27,"Steyn picks up his third wicket, length delivery pitched on the off stump and going straight on, Dilshan looking to work through the on side, misses the line, strikes him on the pad in line with the stumps, loud appeal, given by Umpire Bowden..",,,"27. TM Dilshan lbw  Steyn
Test Match#: 7.0: v Sri Lanka at Colombo (SSC) in 2006 (1st innings)",Steyn,182.1
8,28,DPMD Jayawardene,caught,MV Boucher,13,2,v Sri Lanka,Colombo (PSS),,4 Aug 2006,Test # 1812,styen-wkt-28,"gone! short and wide outside the off stump, Jayawardene shuffles across and flashes hard at it, a totally unnecessary shot given the situation - ball clips the edge and goes straight to Boucher behind the stumps. Steyn's aggressive approach pays off..",,Keeper,"28. DPMD Jayawardene c MV Boucher b Steyn
Test Match#: 8.0: v Sri Lanka at Colombo (PSS) in 2006 (1st innings)",Steyn,20.5
8,29,HAPW Jayawardene,bowled,,42,2,v Sri Lanka,Colombo (PSS),,4 Aug 2006,Test # 1812,styen-wkt-29,"peach of a delivery and Steyn picks up another crucial wicket. Good length - pitched on and around the off stump and this one straightened a touch after hitting the deck, Jayawardene plays down the wrong line and the ball crashes into the woodwork. Sri Lankan seven down..",,,"29. HAPW Jayawardene b  Steyn
Test Match#: 8.0: v Sri Lanka at Colombo (PSS) in 2006 (1st innings)",Steyn,44.1
8,30,MF Maharoof,bowled,,56,2,v Sri Lanka,Colombo (PSS),,4 Aug 2006,Test # 1812,styen-wkt-30,"Steyn produces a beauty and finally the partnership is broken! good length delivery, on and around the off stump line, this one shaped back in a touch after hitting the deck - Maharoof is beaten by the length and the extra pace, drives off the back-foot and ends up playing all over it. Ball crashes into the off stump. End of a fantastic partnership.",,,"30. MF Maharoof b  Steyn
Test Match#: 8.0: v Sri Lanka at Colombo (PSS) in 2006 (1st innings)",Steyn,81.6
8,31,WPUJC Vaas,caught,MV Boucher,64,2,v Sri Lanka,Colombo (PSS),,4 Aug 2006,Test # 1812,styen-wkt-31,"Steyn does it again and this time it is the short delivery that gets him a wicket - nothing special though, just short and drifting down the leg side, Vaas instinctively goes for the pull, ball clips the glove and flies behind - Bouncer dives across full length to his right and takes a fantastic low catch - Sri Lanka nine down..",,Keeper,"31. WPUJC Vaas c MV Boucher b Steyn
Test Match#: 8.0: v Sri Lanka at Colombo (PSS) in 2006 (1st innings)",Steyn,83.6
8,32,M Muralidaran,caught,AJ Hall,0,2,v Sri Lanka,Colombo (PSS),,4 Aug 2006,Test # 1812,styen-wkt-32,"Murali gets another golden duck to his name and it's all over for Sri Lanka. short of a good length delivery on the stumps, Murali makes room and swings across - the only shot in the book as far as he is concerned. Ball clips the top edge and balloons up towards mid-on, Hall calls for it early, quickly moves across to his left and nicely settles under it to give Steyn his fifth wicket of the innings..",,InField,"32. M Muralidaran c AJ Hall b Steyn
Test Match#: 8.0: v Sri Lanka at Colombo (PSS) in 2006 (1st innings)",Steyn,85.1
10,33,W Jaffer,caught,JH Kallis,116,1,v India,Cape Town,South Africa,2 Jan 2007,Test # 1827,styen-wkt-33,"good catch at second slip! Lands on a back of a good length outside off stump, Jaffer stands and prods at it well away from his body, takes the thick edge, and Kallis holds onto a good catch near his face and moving away, his 100th in Tests, to end Jaffer's vigil.",,slip-cordon,"33. W Jaffer c JH Kallis b Steyn
Test Match#: 10.0: v India at Cape Town in 2007 (1st innings)",Steyn,85.1
10,34,VVS Laxman,bowled,,13,1,v India,Cape Town,South Africa,2 Jan 2007,Test # 1827,styen-wkt-34,"CRACKER! This time he got it all right, line was on middle and off stump and moving away, length was good and the ball moved away every so beautifully. Laxman shaped to defend it but was castled with the outswing. It's a delivery that fast bowlers dream off and Steyn pulls it off, watching the off stump uprooted from the ground. He's struggled with his line this morning but what a line that was! What seam position! A magic ball there.",,,"34. VVS Laxman b  Steyn
Test Match#: 10.0: v India at Cape Town in 2007 (1st innings)",Steyn,97.6
10,35,V Sehwag,caught,MV Boucher,4,3,v India,Cape Town,South Africa,2 Jan 2007,Test # 1827,styen-wkt-35,"that's the end of that! fuller length delivery outside the off stump, shaping away. Sehwag flashes at it well away from his body and the thin edge goes straight to the Boucher behind the stumps. Thanks for coming..",,Keeper,"35. V Sehwag c MV Boucher b Steyn
Test Match#: 10.0: v India at Cape Town in 2007 (2nd innings)",Steyn,1.6
10,36,A Kumble,caught,HH Gibbs,6,3,v India,Cape Town,South Africa,2 Jan 2007,Test # 1827,styen-wkt-36,"and raw pace works! short rising delivery, pitched on middle and off and coming in with the angle and the result is the replay of the cartoon 'Rabbit in the headlight'. Too quick a delivery for Kumble, who fends at it on the hop, ball clips the shoulder of the bat and goes straight to Gibbs at gully. India seven down..",,close-in,"36. A Kumble c HH Gibbs b Steyn
Test Match#: 10.0: v India at Cape Town in 2007 (2nd innings)",Steyn,59.4
10,37,S Sreesanth,caught,JH Kallis,4,3,v India,Cape Town,South Africa,2 Jan 2007,Test # 1827,styen-wkt-37,"short of a good length delivery, in the channel and shaping away. Perfect line and length to the number ten batsman. Sreesanth had no option but to play at it and the edge goes low towards the slip cordon. Kallis at second slip swoops low to his left and takes it as clean as a whistle. India nine down..",,slip-cordon,"37. S Sreesanth c JH Kallis b Steyn
Test Match#: 10.0: v India at Cape Town in 2007 (2nd innings)",Steyn,63.6
